ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-12-31,38284.3158929455,53788.843919286555,72860.66843842344,38284.3158929455,38284.3158929455,25108.953019303244,25108.953019303244,25108.953019303244,25108.953019303244,25108.953019303244,25108.953019303244,0.0,0.0,0.0,63393.26891224875
2016-01-31,38727.841411090936,10323.558915503228,28558.397885187533,38727.841411090936,38727.841411090936,-19378.59597039212,-19378.59597039212,-19378.59597039212,-19378.59597039212,-19378.59597039212,-19378.59597039212,0.0,0.0,0.0,19349.245440698814
2016-02-29,39142.768043158096,5818.262728124643,23645.10555583458,39142.768043158096,39142.768043158096,-24937.06816187664,-24937.06816187664,-24937.06816187664,-24937.06816187664,-24937.06816187664,-24937.06816187664,0.0,0.0,0.0,14205.699881281456
2016-03-31,39586.31056410149,24657.044462871254,42866.78587155638,39586.31056410149,39586.31056410149,-6420.302633625379,-6420.302633625379,-6420.302633625379,-6420.302633625379,-6420.302633625379,-6420.302633625379,0.0,0.0,0.0,33166.00793047612
2016-04-30,40015.54526178865,23326.93929824678,42128.34887658329,40015.54526178865,40015.54526178865,-7020.031303371513,-7020.031303371513,-7020.031303371513,-7020.031303371513,-7020.031303371513,-7020.031303371513,0.0,0.0,0.0,32995.513958417134
2016-05-31,40459.45876422704,31710.12173338254,49421.476281651245,40459.45876422704,40459.45876422704,-277.7294527672879,-277.7294527672879,-277.7294527672879,-277.7294527672879,-277.7294527672879,-277.7294527672879,0.0,0.0,0.0,40181.729311459756
2016-06-30,40889.33679018683,18504.12189728001,38385.44649525843,40889.33679018683,40889.33679018683,-12287.004095773607,-12287.004095773607,-12287.004095773607,-12287.004095773607,-12287.004095773607,-12287.004095773607,0.0,0.0,0.0,28602.332694413228
2016-07-31,41333.544083678615,22583.886434423122,40868.57951538437,41333.544083678615,41333.544083678615,-9170.524281095999,-9170.524281095999,-9170.524281095999,-9170.524281095999,-9170.524281095999,-9170.524281095999,0.0,0.0,0.0,32163.019802582618
2016-08-31,41778.82642845364,28901.722413152427,47285.197133491456,41778.82642845364,41778.82642845364,-2986.985300071451,-2986.985300071451,-2986.985300071451,-2986.985300071451,-2986.985300071451,-2986.985300071451,0.0,0.0,0.0,38791.84112838219
2016-09-30,42210.419651533564,54902.44471368159,73209.22712302308,42210.419651533564,42210.419651533564,21773.615063334273,21773.615063334273,21773.615063334273,21773.615063334273,21773.615063334273,21773.615063334273,0.0,0.0,0.0,63984.03471486784
2016-10-31,42656.399315382805,36750.164133396625,54975.66186162708,42656.399315382805,42656.399315382805,3383.707077332761,3383.707077332761,3383.707077332761,3383.707077332761,3383.707077332761,3383.707077332761,0.0,0.0,0.0,46040.10639271556
2016-11-30,43366.44142963393,68880.24101832011,87472.62968690488,43366.44142963393,43366.44142963393,35004.46314645171,35004.46314645171,35004.46314645171,35004.46314645171,35004.46314645171,35004.46314645171,0.0,0.0,0.0,78370.90457608564
2016-12-31,44100.741445648106,72467.30074344814,90364.1550076691,44100.741445648106,44100.741445648106,37256.732227874265,37256.732227874265,37256.732227874265,37256.732227874265,37256.732227874265,37256.732227874265,0.0,0.0,0.0,81357.47367352237
2017-01-31,44835.04146166228,16844.023036576797,35487.33941603283,44835.04146166228,44835.04146166228,-18722.692971620952,-18722.692971620952,-18722.692971620952,-18722.692971620952,-18722.692971620952,-18722.692971620952,0.0,0.0,0.0,26112.348490041328
2017-02-28,45498.63994789521,8492.722751458708,27607.5978322858,45498.63994789521,45498.63994789521,-27290.997910226582,-27290.997910226582,-27290.997910226582,-27290.997910226582,-27290.997910226582,-27290.997910226582,0.0,0.0,0.0,18207.642037668626
2017-03-31,46233.78689981198,38463.9379141137,56580.36096487803,46233.78689981198,46233.78689981198,1618.1073382562834,1618.1073382562834,1618.1073382562834,1618.1073382562834,1618.1073382562834,1618.1073382562834,0.0,0.0,0.0,47851.894238068264
2017-04-30,46945.21943392499,28064.25921950526,47449.033115079474,46945.21943392499,46945.21943392499,-9079.470754305785,-9079.470754305785,-9079.470754305785,-9079.470754305785,-9079.470754305785,-9079.470754305785,0.0,0.0,0.0,37865.74867961921
2017-05-31,47680.46108023235,34456.96781059656,52177.20805271526,47680.46108023235,47680.46108023235,-4363.806015773409,-4363.806015773409,-4363.806015773409,-4363.806015773409,-4363.806015773409,-4363.806015773409,0.0,0.0,0.0,43316.655064458944
2017-06-30,48392.727419357696,29244.632079805706,46747.81471357131,48392.727419357696,48392.727419357696,-10147.18763504604,-10147.18763504604,-10147.18763504604,-10147.18763504604,-10147.18763504604,-10147.18763504604,0.0,0.0,0.0,38245.53978431165
2017-07-31,49128.73596978723,30009.907959904245,48575.10182325808,49128.73596978723,49128.73596978723,-9504.461513961023,-9504.461513961023,-9504.461513961023,-9504.461513961023,-9504.461513961023,-9504.461513961023,0.0,0.0,0.0,39624.274455826206
2017-08-31,49865.577623854195,34548.506727580396,53269.30920348293,49865.577623854195,49865.577623854195,-5934.3296919540535,-5934.3296919540535,-5934.3296919540535,-5934.3296919540535,-5934.3296919540535,-5934.3296919540535,0.0,0.0,0.0,43931.24793190014
2017-09-30,50579.31267913717,67698.83654735361,85629.63208728263,50579.31267913717,50579.31267913717,25755.382987972076,25755.382987972076,25755.382987972076,25755.382987972076,25755.382987972076,25755.382987972076,0.0,0.0,0.0,76334.69566710925
2017-10-31,51316.83890292958,44547.56739612422,63651.259440637026,51316.83890292958,51316.83890292958,2493.3312241117874,2493.3312241117874,2493.3312241117874,2493.3312241117874,2493.3312241117874,2493.3312241117874,0.0,0.0,0.0,53810.17012704137
2017-11-30,52030.85944954558,80335.14790037794,99145.00514515975,52030.85944954558,52030.85944954558,37750.00542617491,37750.00542617491,37750.00542617491,37750.00542617491,37750.00542617491,37750.00542617491,0.0,0.0,0.0,89780.8648757205
2017-12-31,52768.802045548444,77061.1938597103,94718.83460868243,52768.802045548444,52768.802045548444,33267.133454594376,33267.133454594376,33267.133454594376,33267.133454594376,33267.133454594376,33267.133454594376,0.0,0.0,0.0,86035.93550014282
2018-01-31,53506.7446415513,24554.34652275957,43792.525001689784,53506.7446415513,53506.7446415513,-18985.402962784065,-18985.402962784065,-18985.402962784065,-18985.402962784065,-18985.402962784065,-18985.402962784065,0.0,0.0,0.0,34521.34167876723
2018-02-28,54173.273906302566,14795.191248431402,33672.16211274743,54173.273906302566,54173.273906302566,-29516.596095902452,-29516.596095902452,-29516.596095902452,-29516.596095902452,-29516.596095902452,-29516.596095902452,0.0,0.0,0.0,24656.677810400113
2018-03-31,54911.217022037294,54669.20517853691,73925.22293868187,54911.217022037294,54911.217022037294,9650.095497592609,9650.095497592609,9650.095497592609,9650.095497592609,9650.095497592609,9650.095497592609,0.0,0.0,0.0,64561.3125196299
2018-04-30,55625.355521135425,34381.579322780315,53716.77096516422,55625.355521135425,55625.355521135425,-11291.884867373385,-11291.884867373385,-11291.884867373385,-11291.884867373385,-11291.884867373385,-11291.884867373385,0.0,0.0,0.0,44333.47065376204
2018-05-31,56363.29863687016,38513.65147888992,57401.84432522841,56363.29863687016,56363.29863687016,-8438.180005008495,-8438.180005008495,-8438.180005008495,-8438.180005008495,-8438.180005008495,-8438.180005008495,0.0,0.0,0.0,47925.11863186167
2018-06-30,57077.43713596829,39387.379913011755,58633.368442679224,57077.43713596829,57077.43713596829,-7962.5262565869,-7962.5262565869,-7962.5262565869,-7962.5262565869,-7962.5262565869,-7962.5262565869,0.0,0.0,0.0,49114.910879381394
2018-07-31,57815.38025170303,38331.637098335246,57383.99087750602,57815.38025170303,57815.38025170303,-9865.91975359207,-9865.91975359207,-9865.91975359207,-9865.91975359207,-9865.91975359207,-9865.91975359207,0.0,0.0,0.0,47949.46049811096
2018-08-31,58553.32336743775,41191.70629632104,59158.08802056841,58553.32336743775,58553.32336743775,-8817.551354292838,-8817.551354292838,-8817.551354292838,-8817.551354292838,-8817.551354292838,-8817.551354292838,0.0,0.0,0.0,49735.77201314491
2018-09-30,59267.46186653589,80010.97736341112,98272.43411703533,59267.46186653589,59267.46186653589,29759.358082479353,29759.358082479353,29759.358082479353,29759.358082479353,29759.358082479353,29759.358082479353,0.0,0.0,0.0,89026.81994901525
2018-10-31,60005.40498227062,52267.63038040655,71067.42816658824,60005.40498227062,60005.40498227062,1585.1189161380191,1585.1189161380191,1585.1189161380191,1585.1189161380191,1585.1189161380191,1585.1189161380191,0.0,0.0,0.0,61590.52389840864
2018-11-30,60719.543481368746,91323.01450017665,110373.32238092701,60719.543481368746,60719.543481368746,40416.79348334956,40416.79348334956,40416.79348334956,40416.79348334956,40416.79348334956,40416.79348334956,0.0,0.0,0.0,101136.3369647183
2018-12-31,61457.48659710348,81356.34959362609,99861.23563759263,61457.48659710348,61457.48659710348,29216.31400908818,29216.31400908818,29216.31400908818,29216.31400908818,29216.31400908818,29216.31400908818,0.0,0.0,0.0,90673.80060619165
2019-01-31,62195.4297128382,33805.12362709391,52702.67915033689,62190.01864282743,62200.35733465286,-19204.897510717263,-19204.897510717263,-19204.897510717263,-19204.897510717263,-19204.897510717263,-19204.897510717263,0.0,0.0,0.0,42990.53220212094
2019-02-28,62861.95897866313,21236.375894226476,39578.0983708808,62845.02351322958,62879.176059359525,-31613.799056659893,-31613.799056659893,-31613.799056659893,-31613.799056659893,-31613.799056659893,-31613.799056659893,0.0,0.0,0.0,31248.15992200324
2019-03-31,63599.90209439786,71555.72943764018,89983.02978889416,63566.82600955593,63632.604236449886,17667.105677803116,17667.105677803116,17667.105677803116,17667.105677803116,17667.105677803116,17667.105677803116,0.0,0.0,0.0,81267.00777220097
